Accuracy,Precision,Recall,F1,AUC
0.8582089552238806,0.7781862745098039,0.8142956040152302,0.7935285053929122,0.9345794392523364
0.8731343283582089,0.773027302730273,0.8693181818181819,0.8055484421681605,0.8973214285714286
0.8805970149253731,0.7714460784313726,0.8885964912280702,0.809116809116809,0.9425438596491229
0.8880597014925373,0.8137464387464388,0.823302752293578,0.8183789644890214,0.9335779816513762
0.9029850746268657,0.8506493506493507,0.8170642201834863,0.8322903629536922,0.9611009174311926
0.8805970149253731,0.8114942528735632,0.8283142956040153,0.8194070080862533,0.9200415368639667
0.8656716417910447,0.8115942028985508,0.8688725490196079,0.8319866258010588,0.9197303921568628
0.8507462686567164,0.7788913247729408,0.7924466338259442,0.7852564102564104,0.8857142857142857
0.9029850746268657,0.8257799671592776,0.8757575757575757,0.8471259324265029,0.9568181818181818
0.8432835820895522,0.7634263426342635,0.795822102425876,0.7771442147778569,0.8904986522911051
0.9029850746268657,0.8466981132075472,0.8561786085150571,0.8513017498932993,0.9418483904465212
0.8059701492537313,0.6415981198589894,0.6523388116308471,0.6465097402597403,0.809102402022756
0.8432835820895522,0.7823498964803313,0.841684935797056,0.8023182297154899,0.9129345443156905
0.8582089552238806,0.7514245014245013,0.7765374069721895,0.7627434535458019,0.8856247551899726
0.8656716417910447,0.768076807680768,0.8499804151978065,0.7968328840970351,0.928123775949863
0.8582089552238806,0.7847290640394089,0.7921159029649596,0.7883096366508688,0.9231805929919137
0.8731343283582089,0.8253968253968254,0.8444344434443445,0.8340980263637026,0.9303930393039304
0.8432835820895522,0.7275641025641025,0.7502937720329025,0.7377690802348337,0.9024676850763808
0.8731343283582089,0.8044871794871795,0.7959501557632398,0.8000877577885037,0.9421945309795777
0.8283582089552238,0.7264093137254901,0.7711926605504588,0.7437432443668412,0.8954128440366972
0.8731343283582089,0.7934544315690573,0.8336894586894588,0.8105928327928826,0.9075854700854702
0.8656716417910447,0.8037234042553192,0.8660256410256411,0.825974025974026,0.8964743589743589
0.8582089552238806,0.7932178932178933,0.8256410256410256,0.8070481242895036,0.8865384615384616
0.9029850746268657,0.8522079772079773,0.8423329871928003,0.8471259324265028,0.9207338179300797
0.8507462686567164,0.7799671592775042,0.7799671592775042,0.7799671592775042,0.883743842364532
0.8432835820895522,0.7823498964803313,0.841684935797056,0.8023182297154899,0.9289069840275603
0.835820895522388,0.7956495098039216,0.7735260770975056,0.783235294117647,0.8934240362811792
0.8582089552238806,0.7789757412398922,0.7866043613707165,0.7826717883055911,0.8736587054344063
0.8134328358208955,0.7320701534606953,0.7375,0.7346954937831631,0.8842948717948718
0.8134328358208955,0.6944444444444444,0.7003669724770643,0.6972982741483691,0.8366972477064221
