Accuracy,Precision,Recall,F1,AUC
0.6442307692307693,0.6023238380809596,0.7307692307692308,0.5622796041405984,0.7307692307692308
0.6634615384615384,0.6313923105636432,0.75,0.6015325670498084,0.75
0.5961538461538461,0.6181818181818182,0.7692307692307692,0.5411764705882354,0.7692307692307692
0.5865384615384616,0.6079777365491651,0.730952380952381,0.5337295381086435,0.7309523809523809
0.5865384615384616,0.5939696633370329,0.730072463768116,0.5188811188811189,0.7300724637681159
0.5769230769230769,0.6121687196715192,0.7250936329588016,0.5326797385620914,0.7250936329588014
0.6442307692307693,0.6063829787234043,0.8031914893617021,0.5529220401998374,0.8031914893617021
0.5576923076923077,0.6166666666666667,0.7444444444444445,0.5175473981444131,0.7444444444444445
0.6057692307692307,0.6261595547309833,0.7414772727272727,0.5616325691374524,0.7414772727272727
0.6153846153846154,0.6226415094339622,0.7802197802197802,0.5561246265471618,0.7802197802197802
0.5961538461538461,0.625,0.7666666666666666,0.5478260869565218,0.7666666666666666
0.5480769230769231,0.6234375,0.6812966150315548,0.5324725011956002,0.6812966150315548
0.5673076923076923,0.5754716981132075,0.765625,0.4780863164938106,0.765625
0.6057692307692307,0.6203703703703703,0.7747252747252747,0.5486397798242828,0.7747252747252747
0.6057692307692307,0.6203703703703703,0.7747252747252747,0.5486397798242828,0.7747252747252747
0.6153846153846154,0.6363636363636364,0.7752808988764045,0.5693581780538303,0.7752808988764045
0.5961538461538461,0.5550578574094811,0.7172312223858615,0.4747474747474747,0.7172312223858616
0.6346153846153846,0.6278209396966334,0.7588014981273408,0.5783183952198037,0.7588014981273408
0.5288461538461539,0.5580357142857143,0.6318681318681318,0.4686685434261286,0.6318681318681318
0.6057692307692307,0.5816326530612245,0.7864583333333333,0.504589287789009,0.7864583333333334
0.5769230769230769,0.5769230769230769,0.7212765957446808,0.4944763588157314,0.7212765957446808
0.5865384615384616,0.5788013318534961,0.7265957446808511,0.5012824802051968,0.7265957446808511
0.6442307692307693,0.6224489795918368,0.7989130434782609,0.5708709713393554,0.7989130434782609
0.6153846153846154,0.607843137254902,0.7849462365591398,0.5404330534688467,0.7849462365591398
0.5961538461538461,0.6111111111111112,0.7717391304347826,0.5339308578745198,0.7717391304347826
0.5480769230769231,0.5937853107344633,0.6608527131782946,0.5154158818280956,0.6608527131782946
0.6153846153846154,0.6082130965593785,0.7472527472527473,0.5486111111111112,0.7472527472527472
0.6153846153846154,0.6222715501294858,0.7475655430711611,0.5630252100840336,0.7475655430711611
0.6346153846153846,0.5976110488988429,0.7556207233626588,0.5457471264367817,0.7556207233626588
0.5576923076923077,0.6251920122887864,0.710594315245478,0.5328125,0.710594315245478
