Accuracy,Precision,Recall,F1,AUC
0.8410596026490066,0.6821165966386555,0.7896825396825397,0.7123809523809523,0.8709273182957393
0.8211920529801324,0.6965201465201465,0.6557781649245064,0.671130112123901,0.820267131242741
0.7549668874172185,0.6008470695970696,0.6681297709923664,0.6103089907233032,0.783587786259542
0.8609271523178808,0.7018518518518518,0.6597069597069597,0.6765935747067822,0.8194139194139194
0.8211920529801324,0.679055963821368,0.7078412073490814,0.691066151398045,0.8139763779527559
0.8543046357615894,0.6287364130434783,0.7112597547380156,0.6530910609857978,0.8612040133779264
0.8211920529801324,0.6551030668677728,0.7708516242317822,0.68150925708929,0.8652326602282704
0.8675496688741722,0.7122222222222222,0.7665470494417863,0.733967582804792,0.8728070175438596
0.8278145695364238,0.6544077134986226,0.7341269841269842,0.6779855643044619,0.8137009189640768
0.8609271523178808,0.6801684088269454,0.8041666666666667,0.7152734129478315,0.9176470588235295
