Accuracy,Precision,Recall,F1,AUC
0.6357615894039735,0.6134683098591549,0.7692147034252297,0.561903254734399,0.7692147034252297
0.6357615894039735,0.642067392067392,0.7350464576074333,0.5985013294657965,0.7350464576074331
0.6357615894039735,0.595593461265103,0.7053435114503817,0.5560010692328254,0.7053435114503817
0.5960264900662252,0.6080962416578855,0.7254578754578754,0.5416728865004727,0.7254578754578755
0.6158940397350994,0.6181578947368421,0.7209645669291338,0.5664356435643565,0.7209645669291338
0.6423841059602649,0.5864937388193202,0.7695094760312151,0.5333104395604396,0.7695094760312152
0.609271523178808,0.6016146016146016,0.7541703248463565,0.5360137492838914,0.7541703248463565
0.6291390728476821,0.5881307746979388,0.6977671451355663,0.5447889750215331,0.6977671451355661
0.6026490066225165,0.5951210951210951,0.7263993316624895,0.531055900621118,0.7263993316624896
0.6357615894039735,0.6071428571428571,0.7977941176470589,0.5497424776362158,0.7977941176470589
0.6357615894039735,0.6180555555555556,0.7947761194029851,0.561903254734399,0.7947761194029851
0.6887417218543046,0.6173952641165756,0.7983796296296296,0.5903607503607503,0.7983796296296296
0.6026490066225165,0.6050877192982457,0.7286259541984733,0.541868932038835,0.7286259541984732
0.5695364238410596,0.59375,0.7610294117647058,0.5008899059242309,0.7610294117647058
0.6225165562913907,0.5927006009190526,0.6848132487667371,0.5517420967657933,0.6848132487667371
0.6622516556291391,0.6289865343727853,0.7472826086956521,0.5989271392114994,0.7472826086956521
0.6423841059602649,0.6055988660524451,0.7489557226399332,0.561046511627907,0.7489557226399332
0.6887417218543046,0.6440966010733453,0.7642716535433071,0.6256264176821227,0.764271653543307
0.7152317880794702,0.6030034655371582,0.7789363920750783,0.5876151159098126,0.7789363920750783
0.6423841059602649,0.6152557319223986,0.7729741019214703,0.5670135938827527,0.7729741019214703
0.6490066225165563,0.6418918918918919,0.7961538461538462,0.5930333079074498,0.7961538461538462
0.6291390728476821,0.6267543859649123,0.7646520146520146,0.5724110032362459,0.7646520146520145
0.6357615894039735,0.5788014311270125,0.7640887290167866,0.5206349206349207,0.7640887290167865
0.6688741721854304,0.609375,0.8175182481751825,0.5678800366300366,0.8175182481751825
0.6887417218543046,0.6369432471264368,0.7793040293040293,0.6152344808891299,0.7793040293040293
0.6622516556291391,0.647063994374121,0.7655555555555555,0.6127231581594166,0.7655555555555555
0.5960264900662252,0.61207805907173,0.7091535433070866,0.5506171634873396,0.7091535433070865
0.6357615894039735,0.6134683098591549,0.7692147034252297,0.561903254734399,0.7692147034252297
0.6754966887417219,0.5938651436993367,0.7358796296296296,0.5654038179148311,0.7358796296296296
0.6490066225165563,0.6193884764934605,0.7380197322057787,0.5831987917295974,0.7380197322057788
