Accuracy,Precision,Recall,F1,AUC
0.8758389261744967,0.7903761061946903,0.8535353535353536,0.8148850796635494,0.9277964833520389
0.8456375838926175,0.7456766917293234,0.7975865209471766,0.7657873154729361,0.9007285974499089
0.8624161073825504,0.7511720039617036,0.817,0.7761410066142655,0.9026666666666667
0.8355704697986577,0.7284804005234113,0.8346666666666667,0.7576149926132496,0.9425
0.8758389261744967,0.7901629072681704,0.8465020576131688,0.8127218683651805,0.9170968948746726
0.8087248322147651,0.7061883750068094,0.8052419354838709,0.7298792996517341,0.9079838709677419
0.8221476510067114,0.7414311311484885,0.7789129273504274,0.756186418438074,0.8872863247863249
0.8422818791946308,0.732884762296527,0.8302499999999999,0.7621061571125265,0.9226666666666666
0.8590604026845637,0.7738144208732444,0.839193419232729,0.7978290366350067,0.944456577127466
0.8489932885906041,0.7464449541284404,0.8522662076878944,0.7774015238284946,0.9271371199082042
