Accuracy,Precision,Recall,F1,AUC
0.8582089552238806,0.7782051282051282,0.8004499826929734,0.788309636650869,0.9120803046036692
0.8731343283582089,0.773027302730273,0.8693181818181819,0.8055484421681605,0.8867694805194803
0.8805970149253731,0.7714460784313726,0.8885964912280702,0.809116809116809,0.9412280701754386
0.8880597014925373,0.8137464387464388,0.823302752293578,0.8183789644890214,0.9343119266055047
0.9029850746268657,0.8506493506493507,0.8170642201834863,0.8322903629536922,0.9618348623853211
0.8805970149253731,0.8114942528735632,0.8283142956040153,0.8194070080862533,0.9200415368639667
0.8582089552238806,0.8036033733708152,0.8639705882352942,0.8241105354058722,0.9188112745098038
0.8432835820895522,0.7685897435897435,0.7752052545155994,0.7717946638553239,0.8827586206896552
0.917910447761194,0.8516787815853236,0.8848484848484849,0.8668112406252824,0.9545454545454546
0.8432835820895522,0.7663694622457509,0.8221024258760108,0.786737400530504,0.9029649595687331
